Rank,Name,Ticker,Industry,Sector,Returns,Volatility,P/E Ratio
1222,MPLX LP,MPLX,Oil & Gas Midstream,Energy,-0.005431636054756719,1.5140368862070166,8.90
1223,Paragon Care Ltd,PGC,Medical Distribution,Healthcare,-0.005436433157887218,1.5480370126882053,20.62
1224,Sun Art Retail Group Ltd,SRI,Department Stores,Consumer Cyclical,-0.00550205804098623,1.611054228046091,5.97
1225,BlackRock TCP Capital Corp,TCPC,Asset Management,Financial Services,-0.0055172361176590665,1.338020443963443,10.44
1226,Alliance Resource Partners LP,ARLP,Thermal Coal,Energy,-0.0055400819029274686,1.6396475830391666,6.23
1227,ON Semiconductor Corp,ON,Semiconductors,Technology,-0.0055578950046546146,1.5092973076759526,16.23
1228,LTC Properties Inc,LTC,REIT - Healthcare Facilities,Real Estate,-0.0055767101761326435,2.009182973763055,15.24
1229,MGP Ingredients Inc,MGP,Beverages - Wineries & Distilleries,Consumer Defensive,-0.0055826883553370555,1.8285646673542721,19.12
1230,Liberty Latin America Ltd,LILAK,Telecom Services,Communication Services,-0.005589144654053245,1.6951953125011805,12.72
1231,Marriott International Inc,MAR,Lodging,Consumer Cyclical,-0.005597407571819236,1.8822515676411073,23.42
1232,Cofinimmo SA/NV,COF,REIT - Diversified,Real Estate,-0.005613695978461283,1.7596295960477886,4.99
1233,"Baudax Bio, Inc.",BXMX,Biotechnology,Healthcare,-0.005645725001786753,1.6987107764541898,0.01
1234,China State Construction International Holdings Ltd,INT,Engineering & Construction,Industrials,-0.005667003709186045,2.121863630967088,5.70
1235,Banca Monte dei Paschi di Siena,DEI,Banks - Regional,Financial Services,-0.005683219096073414,1.4950497611080533,0.64
1236,Blackstone Mortgage Trust Inc,BXMT,REIT - Mortgage,Real Estate,-0.005708858270086247,1.9725297806462028,8.89
1237,Venator Materials PLC,VNTR,Specialty Chemicals,Basic Materials,-0.005747148486326996,2.560888107697113,1.44
1238,Republic Bancorp Inc,RBCAA,Banks - Regional,Financial Services,-0.005753739829925083,1.6282610454451814,9.43
1239,Codorus Valley Bancorp Inc,CVLY,Banks - Regional,Financial Services,-0.005756876104782953,1.4242680416802806,15.22
1240,HSBC Holdings PLC,HSBC,Banks - Diversified,Financial Services,-0.005774609886066495,1.5601095145494732,11.63
1241,Norwegian Cruise Line Holdings Ltd,NCLH,Travel Services,Consumer Cyclical,-0.005829755973529885,1.7875173555620387,2.50
1242,Lincoln National Corp,LNC,Insurance - Life,Financial Services,-0.005875462913052473,2.0243269704074054,10.79
1243,Euronav NV,EURN,Oil & Gas Midstream,Energy,-0.005917182469050446,1.5172907493569205,9.23
1244,Mapfre SA,CMA,Insurance - Diversified,Financial Services,-0.005924431276963461,1.9299991430628327,7.14
1245,Novartis AG,NVS,Drug Manufacturers - General,Healthcare,-0.005931646518838461,1.5917089584284123,9.51
1246,Meta Platforms Inc,FB,Internet Content & Information,Communication Services,-0.005947281472254045,1.6381276700375436,12.20
1247,Star Bulk Carriers Corp,SBLK,Marine Shipping,Industrials,-0.005970143730110466,2.0797536085575525,2.24
1248,TPG RE Finance Trust Inc,TRTX,REIT - Mortgage,Real Estate,-0.005982000751719775,1.749928861539045,6.96
1249,Athabasca Oil Corp,ATI,Oil & Gas E&P,Energy,-0.005985918259767445,1.6975263693086613,2.62
1250,Triton International Ltd,TRTN,Rental & Leasing Services,Industrials,-0.005993124400279309,1.8318034115178747,6.24
1251,Sugi Holdings Co Ltd,UGI,Pharmaceutical Retailers,Healthcare,-0.006001261085915225,2.0507286665017603,18.42
1252,Republic First Bancorp Inc,FRBK,Banks - Regional,Financial Services,-0.006011970811066598,1.6017192503513467,8.06
1253,Fidelity National Financial Inc,FNF,Insurance - Specialty,Financial Services,-0.006019354821963152,1.6219109999153245,6.99
1254,EnLink Midstream LLC,ENLC,Oil & Gas Midstream,Energy,-0.006060629179983428,2.269925412281465,22.88
1255,Anywhere Real Estate Inc,RLGY,Real Estate Services,Real Estate,-0.006065492167684552,1.7803625993039214,3.66
1256,ONE Gas Inc,OGS,Utilities - Regulated Gas,Utilities,-0.006075598220608552,1.944654878715158,20.00
1257,Tapestry Inc,TPR,Luxury Goods,Consumer Cyclical,-0.006095958097046405,1.8042385609599219,12.99
1258,Yiren Digital Ltd,YRD,Credit Services,Financial Services,-0.0060975781446738556,1.8435137899930307,1.20
1259,Harley-Davidson Inc,HOG,Recreational Vehicles,Consumer Cyclical,-0.006115459722798051,1.8442760683503998,9.12
1260,SmartFinancial Inc,SMBK,Banks - Regional,Financial Services,-0.00617544340161035,1.701480652869505,12.63
1261,BOE Varitronix Ltd,BOE,Electronic Components,Technology,-0.00618927019464315,1.7265190306126652,24.33
1262,Bank of Nova Scotia,BNS,Banks - Diversified,Financial Services,-0.006233009294399888,1.6547984837948977,8.38
1263,Carter's Inc,CRI,Apparel Retail,Consumer Cyclical,-0.006235790396362341,1.8975989997144977,12.05
1264,AdCapital AG,ADC,Asset Management,Financial Services,-0.006251215147664569,1.7689433857712697,13.14
1265,Snap-on Inc,SNA,Tools & Accessories,Industrials,-0.006309588323021343,1.8939385232116646,14.39
1266,Lithia Motors Inc,LAD,Auto & Truck Dealerships,Consumer Cyclical,-0.006312092448304615,1.7391527771160211,4.73
1267,Sixth Street Specialty Lending Inc,TSLX,Asset Management,Financial Services,-0.006315833643863076,1.6259654928583924,13.50
1268,Science Applications International Corp,SAIC,Information Technology Services,Technology,-0.006353095040893622,1.7681137112632435,22.57
